team_slug,reporter_name,tier,outlet_notes,twitter_handle,rss_url
buffalo-bills,Sal Cappaccio,1,WGR 550 / Bills insider; one of the most plugged-in reporters on the beat,,
green-bay-packers,Rob Demovsky,1,"ESPN; the network's long-standing, dedicated Green Bay insider. The premier source for immediate contract numbers, free agency moves, and official team injury designations.",,
minnesota-vikings,Ben Goessling,1,"Star Tribune; a highly trusted cornerstone of the Vikings beat with impeccable sources regarding front-office salary cap parameters, contract structuring, and executive thinking.",,
atlanta-falcons,D. Orlando Ledbetter,1,"Atlanta Journal-Constitution; the undisputed dean of the Falcons beat with decades of institutional knowledge, reliable contract reporting, and a direct pulse on team executives.",,
carolina-panthers,Darin Gantt,1,"Panthers.com; senior writer inside the building with unparalleled access to practice logs, contract execution updates, and deep historical context regarding the franchise.",,
new-orleans-saints,Mike Triplett,1,"NewOrleans.Football; veteran local journalist who brings decades of local beat experience, incredible analytical context, and completely objective coverage of front-office philosophy.",,
tampa-bay-buccaneers,Rick Stroud,1,Tampa Bay Times; the absolute dean of the Buccaneers beat. His institutional knowledge of the ownership structure and front-office philosophy makes him the premier source for reliable news.,,
arizona-cardinals,Bo Brack,1,"PHNX Sports; aggressive daily host and reporter providing fast on-field alerts, target tracking metrics, and localized depth chart logs from training camp.",,
los-angeles-rams,Jourdan Rodrigue,1,"The Athletic; widely considered the absolute gold standard of the beat for her unmatched, deeply detailed behind-the-scenes reporting on McVay’s coaching tree, draft rooms, and schematic logic.",,
san-francisco-49ers,Eric Branch,1,"San Francisco Chronicle; veteran newspaper beat writer bringing highly balanced, beautifully written long-form player feature profiles and sharp press room reporting.",,
seattle-seahawks,Bob Condotta,1,"The Seattle Times; the absolute dean of the Seahawks beat. His institutional knowledge is unparalleled, making him the ultimate local source for totally verified administrative adjustments, contract terms, and official injury data.",,
buffalo-bills,Chris Brown,2,Official Bills team reporter and historian; covers from the inside,,
miami-dolphins,Barry Jackson,2,Miami Herald; veteran Dolphins and South Florida sports reporter,,
new-england-patriots,Phil Perry,2,"NBC Sports Boston; draft and roster specialist, co-hosts Patriots Talk",,
new-york-jets,Brian Costello,2,"New York Post; daily locker room beat writer, strong sourcing inside the organization",,
baltimore-ravens,Jamison Hensley,2,ESPN; primary national reporter assigned to the Ravens since 2013,,
cincinnati-bengals,Ben Baby,2,ESPN; primary national reporter assigned to the Bengals since 2019,,
cleveland-browns,Ashley Bastock,2,"Cleveland.com; daily locker room beat reporter, co-hosts Orange and Brown Talk",,
pittsburgh-steelers,Ray Fittipaldo,2,"Pittsburgh Post-Gazette; daily beat reporter, strong locker room access, co-hosts PG Steelers pod",,
houston-texans,Sarah Barshop,2,ESPN; national NFL reporter frequently covering the Texans and AFC South,,
indianapolis-colts,James Boyd,2,"The Athletic; senior Colts beat writer, co-hosts One Percent Better, strong organizational sourcing",,
jacksonville-jaguars,Michael DiRocco,2,ESPN; primary national reporter assigned to the Jaguars,,
tennessee-titans,Turron Davenport,2,"ESPN; primary national reporter assigned to the Titans, strong locker room access",,
denver-broncos,Aric DiLalla,2,"DenverBroncos.com; lead writer with direct team access, co-hosts Altitude Advantage",,
kansas-city-chiefs,Matt McMullen,2,"Chiefs.com senior team reporter; direct inside access, co-hosts all official pods with Mitch Holthus",,
las-vegas-raiders,Ryan McFadden,2,ESPN; current primary NFL Nation reporter assigned to the Raiders as of 2025,,
los-angeles-chargers,Daniel Popper,2,"The Athletic; senior Chargers beat writer with strong locker room access, regularly appears on Chargers Weekly",,
dallas-cowboys,Todd Archer,2,"ESPN; the ultimate steady presence on the Cowboys beat. Excellent for cap space breakdowns, practice participation, and injury tracking.",,
new-york-giants,Dan Duggan,2,"The Athletic; widely regarded as the sharpest beat writer for pure cap management, analytics, and highly detailed contract breakdowns.",,
philadelphia-eagles,Tim McManus,2,"ESPN; the network’s dedicated Eagles insider. Your go-to source for reliable injury timelines, contract structural details, and executive-level updates.",,
washington-commanders,Ben Standig,2,"The Athletic; the top resource for true front-office logic, salary cap gymnastics, and highly detailed 53-man roster predictions",,
chicago-bears,Adam Hoge,2,"CHGO Sports; a highly trusted and objective presence at Halas Hall who delivers exceptionally consistent daily practice notebooks, tracking every single target, throw, and injury.",,
detroit-lions,Colton Pouncy,2,"The Athletic; exceptionally sharp beat writer known for sophisticated tactical breakdowns, extensive coaching profiles, and regular 53-man roster logic projections.",,
green-bay-packers,Matt Schneidman,2,"The Athletic; highly respected beat writer known for exceptional feature journalism, objective training camp tracking logs, and sharp 53-man roster predictions.",,
minnesota-vikings,Kevin Seifert,2,"ESPN; the network’s dedicated Minnesota insider. Your go-to source for steady, accurate, and completely verified administrative news, practice schedules, and precise injury timelines.",,
atlanta-falcons,Marc Raimondi,2,"ESPN; the network's dedicated local insider. Your trusted source for completely verified news, official injury timelines, and team travel plans.",,
carolina-panthers,Joe Person,2,"The Athletic; widely considered the premier independent insider on the beat for objective, non-reactionary news, detailed executive logic, and highly accurate 53-man roster projections.",,
new-orleans-saints,Nick Underhill,2,"NewOrleans.Football; widely considered the most accurate, deeply sourced, and relentlessly thorough independent insider covering the franchise. His training camp tracking metrics and schematic breakdowns are mandatory reading for Saints fans.",,
tampa-bay-buccaneers,Scott Reynolds,2,"Pewter Report; veteran publisher offering unmatched independent inside sourcing, famous for his detailed post-game deep dives and roster metrics.",,
arizona-cardinals,Darren Urban,2,"AZCardinals.com; director of editorial content and the ultimate institutional knowledge source on the beat. Unmatched internal access for practice logs, target numbers, and executive perspectives.",,
los-angeles-rams,Gary Klein,2,"Los Angeles Times; a long-standing veteran presence on the beat who offers exceptionally stable, balanced news coverage and extensive organizational context.",,
san-francisco-49ers,Matt Maiocco,2,"NBC Sports Bay Area; the absolute dean of the 49ers beat with unmatched institutional knowledge, impeccable organizational sourcing, and totally verified breaking news.",,
seattle-seahawks,Michael-Shawn Dugar,2,"The Athletic; exceptionally sharp beat writer known for elite-tier, narrative-driven feature journalism, sophisticated offensive/defensive scheme analysis, and highly precise 53-man roster projections.",,
buffalo-bills,Joe Buscaglia,3,"The Athletic; deep Bills beat coverage, breaking news",,
miami-dolphins,David Furones,3,Sun Sentinel; current Dolphins beat reporter with daily locker room access,,
new-england-patriots,Evan Lazar,3,Patriots.com / CLNS; best X's and O's analyst on the beat,,
new-york-jets,Zack Rosenblatt,3,"The Athletic; senior Jets writer, film and roster analysis",,
baltimore-ravens,Jonas Shaffer,3,"The Baltimore Banner; strong daily beat access, co-hosts the Banner Ravens Podcast",,
cincinnati-bengals,Kelsey Conway,3,"Cincinnati Enquirer; daily locker room beat writer, well-sourced on breaking news",,
cleveland-browns,Dan Labbe,3,"Cleveland.com; Browns reporter since 2016, co-hosts Orange and Brown Talk",,
pittsburgh-steelers,Brooke Pryor,3,ESPN; primary national reporter assigned to the Steelers,,
houston-texans,Jonathan Alexander,3,Houston Chronicle; daily local beat reporter with locker room access,,
indianapolis-colts,Joel Erickson,3,IndyStar; daily locker room beat reporter since 2018,,
jacksonville-jaguars,Ashlyn Sullivan,3,Jaguars.com; daily locker room reporter and co-host of the Jaguars Reporters Podcast,,
tennessee-titans,Jim Wyatt,3,"TennesseeTitans.com; senior writer and editor, direct team access, hosts OTP segments and the fan mailbag",,
denver-broncos,Nick Kosmider,3,The Athletic; senior Broncos writer with strong organizational sourcing,,
kansas-city-chiefs,Pete Sweeney,3,"Arrowhead Pride / SB Nation; most tenured independent Chiefs beat voice, co-hosts Arrowhead Pride pod",,
las-vegas-raiders,Vincent Bonsignore,3,"The California Post (formerly Las Vegas Review-Journal); longtime beat reporter who covered the Oakland-to-Las Vegas move, now a columnist but still well-sourced",,
los-angeles-chargers,Gilbert Manzano,3,SI / Southern California News Group; longtime Chargers and Rams beat writer with PFWA membership since 2017,,
dallas-cowboys,Clarence Hill Jr.,3,DLLS Sports / Longtime Beat Vet; known for asking the hard questions in press conferences and keeping an incredibly candid pulse on the locker room,,
new-york-giants,Art Stapleton,3,"NorthJersey.com / USA Today Network; a true staple of the beat who is at every practice, providing instant video clips and excellent locker room insight.",,
philadelphia-eagles,Jeff McLane,3,"Philadelphia Inquirer; an aggressive, highly investigative beat writer who isn't afraid to ask uncomfortable questions or publish deeply detailed inside stories about the organization.",,
washington-commanders,JP Finlay,3,NBC Sports Washington / 106.7 The Fan; highly charismatic reporter who always has an immediate pulse on the locker room and organizational culture.,,
chicago-bears,Adam Jahns,3,"The Athletic; exceptional for long-form feature storytelling, deep analytical deep dives, coaching carousel updates, and highly accurate 53-man roster projections.",,
detroit-lions,Dave Birkett,3,"Detroit Free Press; a true veteran staple of the Lions beat who offers deeply sourced contract numbers, front-office movements, and reliable locker room perspective.",,
green-bay-packers,Tom Silverstein,3,Milwaukee Journal Sentinel; a legendary staple of the Green Bay beat with massive institutional knowledge of the front office and decades of team history.,,
minnesota-vikings,Alec Lewis,3,"The Athletic; exceptional for long-form narrative features, statistical deep dives, schematic play-calling analysis, and meticulously researched 53-man roster projections.",,
atlanta-falcons,Josh Kendall,3,"The Athletic; exceptional for highly descriptive feature reporting, long-term statistical models, and incredibly analytical 53-man roster projections.",,
carolina-panthers,David Newton,3,"ESPN; the network’s long-standing, dedicated local reporter. The go-to resource for completely verified transactions, official practice injury designations, and team travel notices.",,
new-orleans-saints,Katherine Terrell,3,"ESPN; the network's dedicated New Orleans reporter. Your premier source for completely verified transactions, official practice injury designations, and accurate roster timelines.",,
tampa-bay-buccaneers,Jenna Laine,3,"ESPN; the network's dedicated Tampa Bay insider. Your go-to source for verified roster transactions, practice timeline changes, and official injury updates.",,
arizona-cardinals,Johnny Venerable,3,"PHNX Sports; film-focused and highly opinionated analyst offering scheme evaluations, cap metrics, and detailed roster building theories.",,
los-angeles-rams,Sarah Barshop,3,"ESPN; the network's dedicated Los Angeles insider. Your go-to source for completely verified transactions, roster updates, and precise practice injury timelines.",,
san-francisco-49ers,Cam Inman,3,"Bay Area News Group; trusted staple of the beat providing high-frequency camp metrics, roster bubble evaluations, and situational scrimmage logs from Santa Clara.",,
seattle-seahawks,John Boyle,3,"Seahawks.com; senior club reporter providing massive daily on-the-ground training camp journals, target tracking logs, and official team transaction explanations straight from the facility.",,
buffalo-bills,Jay Skurski,4,Buffalo News; longtime beat reporter covering the team daily,,
miami-dolphins,Alain Poupart,4,"AllDolphins (SI/FanNation); very well-sourced, co-hosts All Dolphins Podcast",,
new-england-patriots,Greg Bedard,4,"Boston Sports Journal; veteran reporter, strong front office sourcing",,
new-york-jets,Connor Hughes,4,SNY; Jets insider with strong front office access,,
baltimore-ravens,Giana Han,4,The Baltimore Banner; daily locker room reporter,,
cincinnati-bengals,Jay Morrison,4,Bengals On SI (formerly The Athletic & PFN); nearly three decades covering the NFL with a Bengals focus,,
cleveland-browns,Zac Jackson,4,"The Athletic; senior Browns writer, strong front office sourcing, hosts Civilized Barking",,
pittsburgh-steelers,Mike DeFabo,4,"The Athletic; senior Steelers writer, strong organizational sourcing",,
houston-texans,John McClain,4,"Houston Chronicle (emeritus); Pro Football Hall of Fame voter and the most tenured Texans media voice, regularly appears on Texans All Access",,
indianapolis-colts,Mike Chappell,4,"FOX59/CBS4; veteran Colts reporter, one of the most recognized faces on the local beat for decades",,
jacksonville-jaguars,John Shipley,4,"Jaguar Report / SI; credentialed beat writer covering the team since 2019, hosts the Jacksonville Jaguars Insider Podcast",,
tennessee-titans,Jason Wolf,4,The Tennessean; local daily beat reporter,,
denver-broncos,James Palmer,4,"The Athletic (formerly NFL Network); national reporter with strong Broncos ties, frequently breaks Denver news",,
kansas-city-chiefs,Charles Goldman,4,USA Today / Chiefs Wire; daily Chiefs beat coverage and analysis,,
las-vegas-raiders,Vinny Iyer,4,Sporting News; national reporter with Raiders coverage,,
los-angeles-chargers,Jeff Miller,4,Los Angeles Times; veteran LA sports writer covering the Chargers,,
dallas-cowboys,Calvin Watkins,4,"Dallas Morning News; veteran reporter providing daily news, team travel updates, and roster evaluations.",,
new-york-giants,Paul Schwartz,4,"New York Post; veteran beat insider who has covered the team for decades, bringing deep context and an direct pulse on ownership and the front office.",,
philadelphia-eagles,Jimmy Kempski,4,"PhillyVoice; famous for his unique hierarchy-of-needs stick figure drawings, brutal honesty, and highly accurate annual 53-man roster predictions.",,
washington-commanders,Nicki Jhabvala,4,"The Washington Post; provides exceptionally clean, detailed news reporting, injury timelines, and extensive ownership updates.",,
chicago-bears,Kevin Fishbain,4,"The Athletic; focuses heavily on advanced analytics, roster metrics, snap counts, and historical franchise context.",,
detroit-lions,Kyle Meinke,4,"MLive; highly reliable beat presence providing comprehensive daily notebook entries, accurate injury timelines, and clear camp observations.",,
green-bay-packers,Ryan Wood,4,"Milwaukee Journal Sentinel; highly detailed daily reporter tracking every single training camp repetition, passing drill completion, and defensive formation change.",,
minnesota-vikings,Andrew Krammer,4,"Star Tribune; provides excellent technical practice logs, keeping highly granular records of team execution drills, passing counts, and injury adjustments.",,
atlanta-falcons,Tori McElhaney,4,"AtlantaFalcons.com; senior club digital writer providing unmatched daily practice notebook logs, target tracking, and exclusive player feature stories.",,
carolina-panthers,Kassidy Hill,4,"Panthers.com; team journalist delivering comprehensive, on-the-ground training camp notebooks, target tracking data, and player feature journalism.",,
new-orleans-saints,Jeff Duncan,4,"NOLA.com / The Times-Picayune; seasoned sports columnist providing high-level organizational insights, deep contextual columns on ownership, and institutional history.",,
tampa-bay-buccaneers,Greg Auman,4,"Fox Sports (National / Local); highly analytical writer who maintains a brilliant, objective pulse on salary cap numbers, snap count logic, and roster building.",,
arizona-cardinals,Dani Sureck,4,"AZCardinals.com; team reporter and host providing comprehensive locker room feature journalism, training camp notebooks, and direct player Q&As.",,
los-angeles-rams,JB Long,4,Rams Play-by-Play Voice / Club Writer; delivers deeply analytical feature stories and factual depth chart adjustments straight from the team facility.,,
san-francisco-49ers,Jennifer Lee Chan,4,"NBC Sports Bay Area; provides exceptional on-the-ground training camp notebooks, locker room feature storytelling, and precise passing drill tracking statistics.",,
seattle-seahawks,Brady Henderson,4,"ESPN; the network's dedicated local insider. Your trusted resource for verified roster transactions, immediate front-office reporting, and detailed injury timelines.",,
buffalo-bills,Katherine Fitzgerald,5,"Buffalo News; roster moves, injury reports, locker room access",,
miami-dolphins,Cameron Wolfe,5,NFL Network; primary national reporter assigned to the Dolphins,,
new-england-patriots,Andrew Callahan,5,Boston Herald; daily locker room beat writer,,
new-york-jets,Al Iannazzone,5,Newsday; veteran Jets beat reporter,,
baltimore-ravens,Childs Walker,5,Baltimore Sun; veteran sports columnist and Ravens contributor,,
cincinnati-bengals,Geoff Hobson,5,Bengals.com official team writer; direct team access and historical depth,,
cleveland-browns,Daryl Ruiter,5,"92.3 The Fan; longtime radio beat reporter, 25+ years covering Cleveland sports, PFWA member",,
pittsburgh-steelers,Christopher Carter,5,Pittsburgh Post-Gazette & WPXI-TV; beat reporter and host of Locked On Steelers,,
houston-texans,Cody Stoots,5,"Independent / Houston Football; credentialed insider with a decade on the beat, strong organizational sourcing",,
indianapolis-colts,Kevin Bowen,5,"93.5/107.5 The Fan; leading radio voice on the Colts beat, 600+ episodes of Colts Corner",,
jacksonville-jaguars,Mark Long,5,"Associated Press; wire service Jaguars reporter, reliable for breaking news",,
tennessee-titans,Ben Arthur,5,"USA Today / The Tennessean; local beat, co-hosts Talkin' Titans pod",,
denver-broncos,Ryan O'Halloran,5,Denver Post; daily beat reporter and the No. 2 Broncos voice at the Post,,
kansas-city-chiefs,Vahe Gregorian,5,"Kansas City Star; veteran KC sports columnist with 30+ years covering the team, frequently referenced by Andy Reid in press conferences",,
las-vegas-raiders,Hondo Carpenter,5,"SI / Pro Football Insiders; credentialed facility access, hosts the Raiders Insider podcast",,
los-angeles-chargers,"Matt ""Money"" Smith",5,Official Chargers radio voice; hosts Chargers Weekly and has direct team access year-round,,
dallas-cowboys,Michael Gehlken,5,Dallas Morning News; precise X's and O's reporter who catches the small technical details from the practice field.,,
new-york-giants,Pat Leonard,5,"New York Daily News; prominent beat writer known for breaking exclusive stories, driving strong opinions, and asking tough questions in the press room.",,
philadelphia-eagles,Reuben Frank,5,"NBC Sports Philadelphia; a legendary staple of the Philly beat who possesses an almost encyclopedic memory for team statistics, historical records, and roster facts.",,
washington-commanders,Sam Fortier,5,"The Washington Post; focuses heavily on schematic trends, game plans, and high-quality feature stories on individual players.",,
chicago-bears,Courtney Cronin,5,"ESPN; national platform reporter with elite local beat access who provides exceptionally clean, reliable daily news, injury timelines, and television hits.",,
detroit-lions,Justin Rogers,5,"Detroit News; longtime beat veteran offering balanced, steady analysis on team travel schedules, executive-level adjustments, and player performance metrics.",,
green-bay-packers,Wes Hodkiewicz & Mike Spofford,5,"Packers.com; official senior writers for the franchise who provide unmatched day-to-day internal facility access and answer fan queries via the popular ""Inbox"" column.",,
minnesota-vikings,Darren Wolfson,5,"KSTP / SKOR North; an aggressive local sports insider famously known for breaking immediate trade rumors, free agency metrics, and front-office coordinator movements.",,
atlanta-falcons,Michael Rothstein,5,"ESPN / local contributor; veteran reporter bringing high-quality strategic insights, locker room feature writing, and steady evaluation of team operations.",,
carolina-panthers,Mike Kaye,5,"The Charlotte Observer; an aggressive, highly detailed reporter who keeps an exceptionally precise pulse on training camp reps, positional rotations, and roster bubble adjustments.",,
new-orleans-saints,Matthew Paras,5,"The Times-Picayune; active daily beat writer offering detailed practice log summaries, target tracking data, and comprehensive roster bubble progress reports.",,
tampa-bay-buccaneers,Matt Matera,5,"Pewter Report; dedicated daily beat writer offering fast on-field alerts, localized depth chart updates, and situational scrimmage reports.",,
arizona-cardinals,Josh Weinfuss,5,"ESPN; the network's dedicated local insider. Your trusted daily source for completely verified administrative transactions, official injury parameters, and contract numbers.",,
los-angeles-rams,Brock Vierra,5,"Sports Illustrated; active daily reporter tracking team operations, draft class alignments, and localized practice scrimmage logs.",,
san-francisco-49ers,Briana Jeannel & Brooke Evans,5,"49ers.com; official club team reporters delivering direct, facility-cleared practice updates, draft room profiles, and inner facility interviews.",,
seattle-seahawks,Gregg Bell,5,"The Tacoma News Tribune; long-standing beat staple who keeps a highly precise, aggressive pulse on the line-scrimmage rotations, contract parameters, and daily player conditioning drills.",,
buffalo-bills,Alaina Getzenberg,6,ESPN Bills reporter; national platform with local beat access,,
miami-dolphins,Travis Wingfield,6,Drive Time with Travis Wingfield; independent but very well-regarded for film and analysis,,
new-england-patriots,Karen Guregian,6,MassLive; one of the most respected veteran reporters on the beat,,
new-york-jets,Dennis Waszak Jr.,6,"Associated Press; wire service Jets reporter, reliable for breaking news",,
baltimore-ravens,Jason La Canfora,6,Baltimore native and longtime NFL insider; recently left WJZ-FM radio but remains a key local voice on the team,,
cincinnati-bengals,James Rapien,6,AllBengals / Locked On; independent beat presence with strong fan community,,
cleveland-browns,Tony Grossi,6,ESPN 850 Cleveland; veteran Browns insider and one of the most recognized voices on the beat,,
pittsburgh-steelers,Mark Kaboly,6,The Pat McAfee Show / formerly The Athletic; highly sourced Steelers insider widely cited by other reporters,,
houston-texans,Marc Vandermeer,6,"Voice of the Texans / Texans All Access; official radio voice, year-round team access",,
indianapolis-colts,Zak Keefer,6,The Athletic; former Colts beat writer now covering broader NFL but still frequently on the Colts beat,,
jacksonville-jaguars,J.P. Shadrick,6,Jaguars.com radio voice; hosts multiple official team pods and has been the audio face of the franchise for years,,
denver-broncos,Zac Stevens,6,"DNVR; credentialed beat reporter who attends practices and press conferences daily, co-hosts the DNVR pod",,
kansas-city-chiefs,Adam Teicher,6,ESPN (retired 2025); legendary 32-year Chiefs beat reporter — replaced by Nate Taylor but worth noting given his historical significance,,
las-vegas-raiders,Q Myers,6,Raider Nation Radio 920AM / Locked On Raiders; the most recognizable daily radio voice on the beat in Las Vegas,,
dallas-cowboys,Bobby Belt,6,"105.3 The Fan (Flagship Station); radio host and insider with incredible sourcing on roster moves, contract numbers, and internal team thinking.",,
new-york-giants,Charlotte Carroll,6,"The Athletic; focuses on compelling feature storytelling, roster breakdowns, and comprehensive practice logs.",,
philadelphia-eagles,Dave Zangaro,6,"NBC Sports Philadelphia; provides exceptionally consistent daily practice notebooks, tracking every single target, drop, and interception during training camp.",,
washington-commanders,Mitch Tischler,6,"NBC Sports Washington; daily practice observer providing fast on-field reporting, target tracking, and situational scrimmage logging.",,
chicago-bears,Patrick Finley,6,"Chicago Sun-Times; veteran reporter providing daily news, regular locker room interviews, and sharp, witty commentary on the state of the team.",,
detroit-lions,Eric Woodyard,6,"ESPN; dedicated network reporter providing national visibility paired with local locker room entry, focused heavily on player features and major team breaking news.",,
green-bay-packers,Pete Dougherty,6,"Green Bay Press-Gazette; veteran sports columnist providing balanced, analytical, and seasoned big-picture commentary on the franchise's direction.",,
minnesota-vikings,Will Ragatz,6,"Sports Illustrated; delivers constant on-the-ground training camp notebooks, situational scrimmage updates, and clear depth chart tracking.",,
atlanta-falcons,Will McFadden,6,AtlantaFalcons.com; digital team senior reporter offering a deeply historical perspective on roster moves and highly factual practice tracking observations.,,
carolina-panthers,Schuyler Callihan,6,"Sports Illustrated; offers clean, daily analytical reports, consistent film breakdowns, and positional depth chart evaluations from the practice fields.",,
new-orleans-saints,Erin Summers,6,"NewOrleansSaints.com; team reporter and studio host delivering direct, facility-cleared practice updates, player interviews, and daily depth chart logs.",,
tampa-bay-buccaneers,Brianna Dix,6,"Buccaneers.com; official team reporter providing comprehensive, on-the-ground practice notebook entries, target tracking, and exclusive locker room interviews.",,
arizona-cardinals,Craig Grialou,6,"Arizona Sports 98.7 FM; veteran radio presence tracking team operations, travel timelines, and positional execution directly from the facility.",,
los-angeles-rams,Stu Jackson,6,"TheRams.com; staff writer providing comprehensive daily training camp notebooks, target metrics, and direct player Q&A profiles.",,
san-francisco-49ers,David Lombardi,6,"Independent / Longtime Beat Pro; highly recognized for his advanced analytical pacing models, salary cap breakdown graphics, and completely objective training camp notation logs.",,
seattle-seahawks,Corbin Smith,6,"Sports Illustrated / Locked On; a relentless daily practice observer providing fast on-field reporting, target metrics, and exhaustive depth chart logic tracking.",,
buffalo-bills,Matt Parrino,7,NYup.com / Syracuse.com Bills beat writer,,
miami-dolphins,Kyle Crabbs,7,,,
new-england-patriots,Mike Reiss,7,ESPN; primary national reporter assigned to the Patriots,,
cincinnati-bengals,Joe Goodberry,7,,,
dallas-cowboys,Nick Harris & Patrik Walker,7,DallasCowboys.com; official team writers who provide unparalleled day-to-day access directly inside the Star in Frisco.,,
new-york-giants,John Schmeelk,7,Giants.com; host of official team media who provides daily look-ins at roster construction and film breakdowns directly from the team facility.,,
philadelphia-eagles,EJ Smith,7,"Philadelphia Inquirer; offers excellent, scheme-heavy game previews, film room breakdowns, and balanced training camp reports.",,
washington-commanders,Zach Selby,7,"Commanders.com; official team writer delivering steady internal practice notes, player interviews, and daily depth chart tracking",,
chicago-bears,Larry Mayer,7,"ChicagoBears.com; senior writer for the team's official site who delivers factual practice notes, historical breakdowns, and direct player Q&As.",,
detroit-lions,Benjamin Raven,7,"MLive; delivers clean, daily updates tracking practice reps, line-scrimmage rotations, and localized special teams data.",,
green-bay-packers,Andy Herman,7,Pack-A-Day / Cheesehead TV; a tireless independent analyst who attends training camp daily to log play-by-play execution data and individual player grades.,,
minnesota-vikings,Craig Peters,7,"Vikings.com; senior writer inside the facility providing direct, verified practice notes, historical franchise lookbacks, and exclusive team-cleared player features.",,
atlanta-falcons,Alex Lord,7,"SportsTalkATL; local beat writer providing high-frequency camp metrics, roster bubble evaluations, and situational scrimmage logs.",,
carolina-panthers,Steve Reed,7,"Associated Press; veteran wire reporter delivering balanced, highly objective news summaries, practice tracking logs, and locker room access notes.",,
new-orleans-saints,John DeShazier,7,"NewOrleansSaints.com; senior club writer providing balanced tactical previews, veteran player features, and official post-game analysis.",,
tampa-bay-buccaneers,Eduardo Encina,7,"Tampa Bay Times; consistent beat presence delivering detailed features, daily practice observations, and comprehensive game previews.",,
san-francisco-49ers,Nick Wagoner,7,"ESPN; the network's dedicated San Francisco insider. Your absolute go-to source for verified roster transactions, official injury timelines, and team travel notices.",,
